mes,n_obs_s2,n_obs_awfi,n_obs_total,gap_dias_max,mejora_pct_awfi
2018-01,1,4,5,20,400.0
2018-02,2,4,6,12,200.0
2018-03,2,3,5,5,150.0
2018-04,1,3,4,8,300.0
2018-05,1,3,4,10,300.0
2018-06,3,2,4,8,33.3
2018-07,2,5,7,14,250.0
2018-08,0,4,4,20,100.0
2018-09,3,3,6,6,100.0
2018-10,1,3,4,3,300.0
2018-11,1,3,4,3,300.0
2018-12,9,4,12,5,33.3
2019-01,13,5,17,3,30.8
2019-02,11,3,12,3,9.1
2019-03,12,3,15,3,25.0
2019-04,12,0,12,3,0.0
2019-05,13,3,16,3,23.1
2019-06,12,3,13,3,8.3
2019-07,12,4,15,3,25.0
2019-08,12,4,14,3,16.7
2019-09,12,3,15,3,25.0
2019-10,13,3,14,3,7.7
2019-11,11,3,13,5,18.2
2019-12,12,2,13,3,8.3
2020-01,13,5,16,3,23.1
2020-02,11,3,13,3,18.2
2020-03,13,3,15,3,15.4
2020-04,12,3,14,3,16.7
2020-05,11,3,12,5,9.1
2020-06,12,3,15,3,25.0
2020-07,12,4,14,3,16.7
2020-08,13,4,16,3,23.1
2020-09,12,2,13,3,8.3
2020-10,11,3,14,5,27.3
2020-11,11,3,12,5,9.1
2020-12,13,3,16,3,23.1
2021-01,12,4,14,3,16.7
2021-02,11,3,14,3,27.3
2021-03,13,3,14,3,7.7
2021-04,12,3,14,3,16.7
2021-05,12,3,14,3,16.7
2021-06,12,3,13,3,8.3
2021-07,12,3,14,3,16.7
2021-08,13,4,15,3,15.4
2021-09,12,2,13,3,8.3
2021-10,12,3,13,3,8.3
2021-11,12,3,15,3,25.0
2021-12,13,3,14,3,7.7
2022-01,12,4,15,3,25.0
2022-02,11,3,12,3,9.1
2022-03,13,3,16,3,23.1
2022-04,12,2,12,3,0.0
2022-05,12,0,12,3,0.0
2022-06,12,4,14,3,16.7
2022-07,12,5,16,3,33.3
2022-08,13,2,13,3,0.0
2022-09,11,3,13,5,18.2
2022-10,12,3,14,3,16.7
2022-11,12,2,12,3,0.0
2022-12,13,4,16,3,23.1
2023-01,12,4,14,3,16.7
2023-02,11,2,12,3,9.1
2023-03,13,3,14,3,7.7
2023-04,12,3,15,3,25.0
2023-05,12,3,13,3,8.3
2023-06,12,4,15,3,25.0
2023-07,12,3,13,3,8.3
2023-08,13,3,16,3,23.1
2023-09,12,3,13,3,8.3
2023-10,12,3,14,3,16.7
2023-11,11,3,13,3,18.2
2023-12,12,2,14,3,16.7
2024-01,12,4,14,3,16.7
2024-02,12,3,14,3,16.7
2024-03,12,3,14,3,16.7
2024-04,11,3,12,5,9.1
2024-05,12,4,16,3,33.3
2024-06,12,4,13,3,8.3
2024-07,13,4,16,3,23.1
2024-08,11,3,12,3,9.1
2024-09,12,3,15,3,25.0
2024-10,13,3,14,3,7.7
2024-11,12,4,15,3,25.0
2024-12,12,5,14,3,16.7
2025-01,12,3,15,3,25.0
2025-02,12,3,13,3,8.3
2025-03,13,3,15,3,15.4
2025-04,13,3,14,3,7.7
2025-05,14,4,16,3,14.3
2025-06,13,4,16,3,23.1
2025-07,14,4,16,3,14.3
2025-08,14,3,16,3,14.3
2025-09,13,3,14,3,7.7
2025-10,15,3,18,3,20.0
2025-11,13,4,14,3,7.7
2025-12,13,5,17,3,30.8
2026-01,12,3,13,3,8.3
2026-02,12,3,15,3,25.0
2026-03,13,2,13,3,0.0
2026-04,13,2,14,3,7.7
2026-05,0,0,0,0,0.0
